ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,PERS_NRO,REGION,ESTRATO,LLAVE_PANEL,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C308_COD,C309_COD,C310,C311,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,whoraT,C330,C331,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C348,C347_T,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,INGTOT,INGTOTP,RESIDENT,fa_aso22
2022,09,17255,1,0001,1,1,1,1,202206172551000111,1,1,2, ,2,52,1,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , ,1, 
2022,09,17255,1,0001,1,2,1,1,202206172551000112,2,1,2, ,1,61,2,2,30,5,1961,1, , , , , , , , , , , , , , ,7111,4100,3,5,1,2,0,8,8,8,8,8,0,88,1, ,2,2,4,2540, , , ,168, , , , , , , , , , ,1,5,5,4, ,2,2,2,2,2,2,10,6,1,2540, , , ,168, , , ,2708,2540,1,282.750152587891
2022,09,17255,1,0001,1,3,1,1,202206172551000113,3,1,1, ,1,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2022,09,17255,1,0001,1,4,1,1,202206172551000114,3,1,2, ,1,20,4,4,1,11,2001,1, , , , , , , , , , , , , , ,8160,1079,3,5,3,100,0,8,8,8,8,8,8,48,1, ,2,2,4,1489, , , , , , , , , , , , , , ,1,1,6,5, ,2,2,2,2,2,2,10,7,1,1489, , , , , , , ,1489,1489,1,2578.05395507813
2022,09,17255,1,0001,1,5,1,1,202206172551000115,3,1,2, ,1,16,5,5,9,12,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,5,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , ,1,415.768890380859
2022,09,17255,1,0001,1,6,1,1,202206172551000116,3,1,2, ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,09,17255,1,0001,1,7,1,1,202206172551000117,3,1,2, ,1,30,7,7,17,5,1992,1, , , , , , , , , , , , , , ,7411,3312,3,5,1,7,0,8,8,8,8,8,0,60,1, ,2,2,4,3418, , , , ,102, , , , , , , , , ,1,1,6,5, ,2,2,2,2,2,2,10,7,1,3418, , , , ,102, , ,3520,3418,1,171.867172241211
2022,09,17255,1,0001,1,8,1,1,202206172551000118,3,1,2, ,2,28,8,8,5,4,1994,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,6, , ,1,5,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , ,1,397.130004882813
2022,09,17255,1,0001,1,9,1,1,202206172551000119,11,1,2, ,1,28,9,9,25,6,1994,1, , , , , , , , , , , , , , ,9313,4100,3,5,1,4,0,8,8,8,8,8,5,45,1, ,2,1,4,2161, , , , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,10,7,1,2161, , , , , , , ,2161,2161,1,388.934783935547
2022,09,17255,1,0001,1,10,1,1,2022061725510001110,5,1,2, ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
