ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,REGION,ESTRATO,LLAVE_PANEL,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C308_COD,C309_COD,C310,C311,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,whoraT,C330,C331,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C348,C347_T,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,fa_nde23,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,INGTOT,INGTOTP,RESIDENT
2022,11,17268,1,0016,1,1,1,1,202108172681001611,1,1,2, ,2,45,1,1,20,3,1977,1, , , , , , , , , , , , , , ,5212,4721,2, ,1,1,1,1,1,0,0,0,0,3,1, ,2,2, , , ,30,28, , , , , , , , , , , ,1,1,6,5, ,2,2,2,2,2,2,10,7,1,298.656144, , ,90,28, , , , ,118,118,1
2022,11,17268,1,0016,1,2,1,1,202108172681001612,2,1,2, ,1,41,2,1,21,6,1981,1, , , , , , , , , , , , , , ,8332,4923,3,5,4,500,0,0,0,12,12,12,12,84,2,84,2,1,4,1800,210, , , , , , , , , , , , , ,1,3,6,5, ,2,2,2,2,2,2,10,7,1,405.172218,1800,909, , , , , , ,2709,2709,1
2022,11,17268,1,0016,1,3,1,1,202108172681001613,3,1,2, ,2,15,3,3,16,9,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2,3,5,2, ,2,2,2,2,2,2,10,7,4,406.217026, , , , , , , , , , ,1
2022,11,17268,1,0016,1,4,1,1,202108172681001614,3,1,2, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17268,1,0016,1,5,1,1,202108172681001615,3,1,2, ,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17268,1,0017,1,1,1,1,202108172681001711,1,1,2, ,2,44,1,1,26,8,1978,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,4,9,3, ,2,2,2,2,2,2,10,7,4,382.86634, , , , , , , , , , ,1
2022,11,17268,1,0017,1,2,1,1,202108172681001712,3,1,2, ,2,23,2,2,10,5,1999,1, , , , , , , , , , , , , , ,5212,4771,3,5,1,2,0,0,0,9,9,9,9,54,2,54,2,2,4,604, , , , , , , , , , , , , , ,1,6,10,1, ,2,2,2,2,2,2,10,7,1,406.217026,604, , , , , , , ,604,604,1
2022,11,17268,1,0017,1,3,1,1,202108172681001713,3,1,2, ,1,19,3,2,18,4,2003,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2,6,8,2, ,2,2,2,2,2,2,10,7,4,394.152482, , , , , , , , , , ,1
2022,11,17268,1,0017,1,4,1,1,202108172681001714,3,1,2, ,2,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17268,1,0017,1,5,1,1,202108172681001715,3,1,2, ,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17268,1,0017,1,6,1,1,202108172681001716,3,1,2, ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17268,1,0018,1,1,1,1,202108172681001811,1,1,2, ,1,38,1,1,2,7,1984,1, , , , , , , , , , , , , , ,7411,3314,3,5,4,200,0,9,9,9,9,9,0,45,1, ,1,2,4,2500,90, , , , , , , , , , , , , ,1,1,6,5, ,2,2,2,2,2,2,10,7,1,405.172218,2500,390, , , , , , ,2890,2890,1
2022,11,17268,1,0019,1,1,1,1,202202172681001911,1,1,2, ,2,26,1,1,22,7,1996,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,1,13,1,2,1,5,10,1, ,2,2,2,2,2,2,10,7,2,382.86634, , , , , , , , , , ,1
2022,11,17268,1,0019,1,2,1,1,202202172681001912,3,1,2, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17311,1,0090,1,1,1,1,202108173111009011,1,1,2, ,1,53,1,1,14,8,1969,1, , , , , , , , , , , , , , ,9521,4781,4, ,1,2,0,0,5,5,5,0,0,15,1, ,1, , , , , , , , , , , , , , , , , ,1,5,11,5, ,2,2,2,2,2,2,10,7,1,324.434186, , , , , , , , , , ,1
2022,11,17311,1,0093,1,1,1,1,202108173111009311,1,1,2, ,1,67,1,1,18,3,1955,1, , , , , , , , , , , , , , ,9612,3811,2, ,1,1,0,4,2,4,4,4,4,30,1, ,2,2, , , ,300, ,300, , , , , , , , , , ,1,5,4,5, ,2,2,2,2,2,2,10,1,1,324.434186, , ,430, ,300, , , ,730,430,1
2022,11,17311,1,0094,1,1,1,1,202108173111009411,1,1,2, ,1,60,1,1,10,2,1962,1, , , , , , , , , , , , , , ,7351,1392,2, ,1,4,5,5,5,0,5,5,5,30,1, ,1,2, , , ,280, , , , , , , , , , , , ,1,1,10,1, ,2,2,2,2,2,2,1,1,1,324.434186, , ,1695, , , , , ,1695,1695,1
2022,11,17311,1,0094,1,2,1,1,202108173111009412,2,1,2, ,2,54,2,2,17,9,1968,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,7351,1392,4, ,1,4,10,4,4,4,4,4,4,34,1, ,2, , , , , , , , , , , , , , , , , ,1,6,3,4, ,2,2,2,2,2,2,1,1,1,298.656144, , , , , , , , , , ,1
2022,11,17311,1,0094,1,3,1,1,202108173111009413,3,1,2, ,1,26,3,3,2,9,1996,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,7351,1392,4, ,1,4,0,2,2,0,0,0,0, ,1, , , , , , , , , , , , ,2,4,2, , , , ,1,5,10,4, ,2,2,2,2,2,2,10,1,4,405.172218, , , , , , , , , , ,1
2022,11,17311,1,0094,1,4,1,1,202108173111009414,3,1,2, ,1,18,4,4,28,8,2004,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,7351,1392,4, ,1,4,0,0,4,4,4,0,0, ,1, , , , , , , , , , , , ,2,4,1,2, , , ,1,5,6,5, ,2,2,2,2,2,2,10,7,4,394.152482, , , , , , , , , , ,1
2022,11,17311,1,0094,1,5,1,1,202108173111009415,3,1,2, ,1,14,5,5,7,7,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2,5,5,4, ,2,2,2,2,2,2,10,7,4,394.152482, , , , , , , , , , ,1
2022,11,17327,1,0061,1,1,1,1,202208173271006111,1,1,2, ,2,31,1,1,2,4,1991,1, , , , , , , , , , , , , , ,3213,4772,3,5,1,2,6,8,8,8,8,8,8,54,1, ,2,2,4,1025, , , , , , , , , , , , , , ,1,5,9,3, ,2,2,2,2,2,2,10,7,1,382.86634,1025, , , , , , , ,1025,1025,1
2022,11,17327,1,0061,1,2,1,1,202208173271006112,2,1,2, ,1,32,2,2,16,5,1990,1, , , , , , , , , , , , , , ,220,8423,3,1,5, ,16,8,16,8,16,8,16,88,1, ,2,2,4,2540, , , , , , , , , , , , , , ,1,4,6,5, ,2,2,2,2,2,2,10,7,1,405.172218,2540, , , , , , , ,2540,2540,1
2022,11,17327,1,0061,1,3,1,1,202208173271006113,3,1,2, ,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17327,1,0062,1,1,1,1,202208173271006211,1,1,2, ,1,64,1,1,15,11,1958,1, , , , , , , , , , , , , , ,7111,4100,2, ,1,1,0,8,0,7,0,7,4,26,1, ,2,2, , , ,500, , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,1,7,1,324.434186, , ,650, , , , , ,650,650,1
2022,11,17327,1,0063,1,1,1,1,202208173271006311,1,1,2, ,2,26,1,1,21,8,1996,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,5,6,5, ,2,2,2,2,2,2,1,1,4,382.86634, , , , , , , , , , ,1
2022,11,17327,1,0063,1,2,1,1,202208173271006312,2,1,2, ,1,30,2,2,12,8,1992,1, , , , , , , , , , , , , , ,8322,4510,3,5,1,2,0,0,12,0,0,12,0,36,2,36,2,2,2,200,60, , , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,10,7,1,405.172218,866,260, , , , , , ,1126,1126,1
2022,11,17327,1,0063,1,3,1,1,202208173271006313,3,1,2, ,2,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17327,1,0063,1,4,1,1,202208173271006314,3,1,2, ,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1
2022,11,17327,1,0064,1,1,1,1,202208173271006411,1,1,2, ,1,61,1,1,6,11,1961,1, , , , , , , , , , , , , , ,7322,3100,2, ,1,1,0,7,8,7,0,0,0,22,1, ,1,2, , , ,800, , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,1,1,1,324.434186, , ,785, , , , , ,785,785,1
2022,11,17330,1,0076,1,1,1,1,202208173301007611,1,1,2, ,2,63,1,1,23,8,1959,2,2,1, , , , , , , , , , , , ,5213,4781,2, ,1,2,0,0,0,0,0,0,0,70,2,70,2,2, , , ,804, , , , , , , , , , , , ,1,5,4,5, ,2,2,2,2,2,2,10,7,1,298.656144, , ,804, , , , , ,804,804,1
2022,11,17330,1,0076,1,2,1,1,202208173301007613,3,1,2, ,1,31,2,2,15,5,1991,1, , , , , , , , , , , , , , ,9629,4630,3,5,4,200,0,8,8,8,8,8,8,48,1, ,2,2,4,1500, , , , , , , , , , , , , , ,1,1,9,3, ,2,2,2,2,2,2,10,7,1,405.172218,1500, , , , , , , ,1500,1500,1
2022,11,17330,1,0076,1,3,1,1,202208173301007614,3,1,2, ,2,23,3,3,21,4,1999,1, , , , , , , , , , , , , , ,5212,4711,2, ,1,1,8,8,8,8,8,8,8,56,1, ,2,2, , , ,1800,87, , , , , , , , , , , ,2,5,8,1, ,2,2,2,2,2,2,10,7,1,406.217026, , ,1700,87, , , , ,1787,1787,1
2022,11,17330,1,0076,1,4,1,1,202208173301007615,11,1,2, ,1,18,4,4,27,1,2004,1, , , , , , , , , , , , , , ,5211,4630,3,5,1,10,0,8,8,8,8,8,8,48,1, ,2,2,3,500, , , , , , , , , , , , , , ,1,6,6,5, ,2,2,2,2,2,2,10,7,1,394.152482,1000, , , , , , , ,1000,1000,1
2022,11,17330,1,0077,1,1,1,1,202208173301007711,1,1,2, ,2,47,1,1,26,10,1975,1, , , , , , , , , , , , , , ,9411,5610,2, ,1,2,6,0,6,6,6,6,6,36,1, ,2,2, , , ,1200,20, , , , , , , , , , , ,1,5,4, ,6,2,2,2,2,2,2,10,7,1,298.656144, , ,1275,87, , , , ,1362,1362,1
2022,11,17330,1,0077,1,2,1,1,202208173301007712,2,1,2, ,1,47,2,2,31,5,1975,1, , , , , , , , , , , , , , ,9412,5610,4, ,1,2,6,0,7,7,7,7,7,41,1, ,2, , , , , , , , , , , , , , , , , ,1,5,4, ,6,2,2,2,2,2,2,10,7,1,324.434186, , , , , , , , , , ,1
2022,11,17330,1,0077,1,3,1,1,202208173301007713,3,1,2, ,1,24,3,3,8,12,1997,1, , , , , , , , , , , , , , ,3115,4520,3,5,1,5,8,0,8,8,8,8,8,48,1, ,2,2,3,750, , , , , , , , , , , , , , ,1,6,9,3, ,2,2,2,2,2,2,10,7,1,394.152482,1500, , , , , , , ,1500,1500,1
2022,11,17330,1,0077,1,4,1,1,202208173301007714,3,1,2, ,2,15,4,4,25,7,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2,6,5,2, ,2,2,2,2,2,2,10,7,4,406.217026, , , , , , , , , , ,1
2022,11,17330,1,0078,1,1,1,1,202208173301007811,1,1,2, ,2,39,1,1,11,11,1983,1, , , , , , , , , , , , , , ,7362,9523,2, ,1,1,6,6,6,6,6,6,6,50,1, ,2,2, , , ,500, , ,200, , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,10,9,1,382.86634, , ,480, , ,200, , ,680,480,1
2022,11,17330,1,0078,1,2,1,1,202208173301007812,3,1,2, ,1,17,2,2,16,2,2005,1, , , , , , , , , , , , , , ,9621,4773,3,5,1,2,0,4,4,4,4,4,0,20,1, ,2,2,2,200, , , , , , , , , , , , , , ,2,6,5,4, ,2,2,2,2,2,2,10,7,1,394.152482,866, , , , , , , ,866,866,1
