pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p20411,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_fma22
2022,02,017284,003,0101,11,01,8,1,22021101,1,1,1, ,1,41,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022,02,017284,003,0101,11,02,8,1,22021102,2,1,2, ,2,40,6,5, ,2,2,6,2,2022,12,2,2022,8,3,1981,2,2,2, ,2,1,2,2,2,2,2,2,2,2,2,942,8121,2, ,1,1,99,99,2020,0,8,0,8,0,8,0,24,1, ,2,2, , , ,400,130, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,400,130, , ,530,530,1,211.282196929469
2022,02,017284,003,0101,11,03,8,1,22021103,3,1,2, ,2,19,9,2, ,3,3,6,2,2022,12,2,2022,23,4,2002,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2, ,0, ,2,6,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,225.155860870509
2022,02,017284,003,0101,11,04,8,1,22021104,3,1,2, ,1,15,5,3, ,4,4,6,2,2022,12,2,2022,15,9,2006,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , ,0, ,2,6,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,205.89504957095
2022,02,017284,003,0117,11,01,8,1,22021101,1,1,2, ,2,44,6,5, ,1,1,6,2,2022,12,2,2022,26,12,1977,1, , , , , , , , , , , , , , ,572,4764,3,5,1,4,15,3,2021,11,0,0,0,0,0,11,22,1, ,1,2,2,100,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,433,0, , , , ,433,433,1,211.282196929469
2022,02,017284,003,0117,11,02,8,1,22021102,3,1,2, ,1,13,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017284,003,0117,11,03,8,1,22021103,3,1,2, ,1,8,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017284,003,0119,11,01,8,1,21021101,1,1,2, ,1,53,4, ,6,1,1,6,2,2022,12,2,2022,30,1,1969,1, , , , , , , , , , , , , , ,785,2511,4,5,1,5,15,5,2021,0,8,8,8,8,8,8,48,1, ,2,2,1,50,0, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,1,1,1,1250,0, , , , ,1250,1250,1,170.859745680006
2022,02,017284,003,0120,11,01,8,1,21021101,1,1,2, ,2,45,5,1, ,1,1,6,2,2022,12,2,2022,28,4,1976,1, , , , , , , , , , , , , , ,572,4711,2, ,1,2,99,99,2010,4,10,6,10,10,6,10,56,1, ,2,2, , , ,400,0,300,0,0, , , , , , , , ,5,0,0,0,0,0,0,1,6,4,1, , ,400,0,300,0,700,400,1,155.308502597283
2022,02,017284,003,0120,11,02,8,1,21021103,3,1,2, ,2,15,5,3, ,2,2,6,2,2022,12,2,2022,12,5,2006,2,2,2, ,2,2,2,2,2,2,2,2,1,2,2,572,4711,5,5,1,2,15,1,2021,0,3,3,3,3,3,0,15,1, ,2,2, , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,1,5,4,1, , , , , , ,0,0,1,225.155860870509
